asofyear,irr,dpi,tvpi,rvpi
1986,,,,1.0
1987,,0.0,1.007,1.015
1988,,,,1.05
1989,,,,1.18
1990,,,,1.23
1991,,,,1.12
1992,,0.541,1.076,0.74
1993,,,,0.705
1994,,,,0.67
1995,,,,0.64
1996,18.4,0.0,1.015,0.981
1997,9.08,0.112,1.071,0.92
1998,8.845,0.104,1.082,0.938
1999,9.2,0.085,1.148,0.951
2000,9.75,0.071,1.115,0.96
2001,0.88,0.08,1.009,0.822
2002,-2.7,0.108,0.935,0.677
2003,-0.65,0.158,0.959,0.619
2004,2.55,0.282,1.021,0.623
2005,4.715,0.346,1.063,0.646
2006,6.928,0.303,1.087,0.734
2007,8.0,0.293,1.126,0.793
2008,4.66,0.203,1.049,0.769
2009,0.53,0.168,0.984,0.667
2010,3.462,0.194,1.056,0.718
2011,5.765,0.242,1.129,0.772
2012,6.4,0.293,1.153,0.785
2013,7.6,0.365,1.198,0.772
2014,8.375,0.427,1.252,0.775
2015,8.88,0.47,1.265,0.749
2016,8.8,0.49,1.261,0.736
2017,9.5,0.533,1.29,0.729
2018,10.2,0.58,1.319,0.735
2019,10.22,0.597,1.32,0.71
2020,9.775,0.58,1.312,0.689
2021,12.5,0.61,1.415,0.81
2022,12.63,0.617,1.418,0.853
2023,11.27,0.572,1.371,0.85
2024,10.7,0.558,1.35,0.847
2025,10.548,0.612,1.368,0.827
2026,24.65,0.11,1.785,1.57
