fundname,tvpi,irr,dpi,rvpi,valid_periods
IA Venture Strategies Fund II,20.168,42.92,14.489,5.679,51
Altair Seed Fund,19.23,,1.49,,4
Flagship Ventures Fund IV,18.051,47.2,17.434,0.617,28
Flagship Ventures Fund V,18.051,47.23,17.434,0.617,27
Valley Forge Fund IV,16.33,88.2,13.04,3.3,13
Emergence Capital Partners II,15.41,46.0,7.507,7.903,46
Nordic Biotech Opportunity Fund,15.23,40.7,,0.22,5
GP Capital Partners V,14.24,,1.01,13.23,6
Union Square Ventures 2004,13.785,66.66,13.785,0.0,80
BEK I,13.18,69.0,12.73,,35
Jeter #3,12.864,131.53,5.342,7.523,16
IA Venture Strategies Fund I,12.149,53.25,9.373,2.776,45
Walnut Capital Partners,11.48,120.66,11.48,0.0,8
Clayton Dubilier & Rice Fund II,11.46,65.3,11.46,0.0,11
Union Square Ventures Opportunity 2014 Fund,11.33,39.525,10.488,0.842,48
